Assembly Center origin,latitude1,longitude1,Relocation Center destination,latitude2,longitude2,Transfer order number,Date of Departure,Date of Arrival,Persons transferred,
Turlock,37.50179351452003,-120.858163760034,Gila River,33.07215651719934,-111.8888227381422,8,8/10/1942,8/12/1942,507,
Turlock,37.50179351452003,-120.858163760034,Gila River,33.07215651719934,-111.8888227381422,8,8/11/1942,8/13/1942,502,
Turlock,37.50179351452003,-120.858163760034,Gila River,33.07215651719934,-111.8888227381422,8,8/12/1942,8/14/1942,502,
Pinedale,36.84437735635104,-119.8044273763797,Gila River,33.07215651719934,-111.8888227381422,9,7/22/1942,7/23/1942,40,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,8/9/1942,8/10/1942,213,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,8/15/1942,8/16/1942,493,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,8/16/1942,8/17/1942,516,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,8/17/1942,8/18/1942,508,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,8/18/1942,8/19/1942,524,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,8/19/1942,8/20/1942,511,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,8/20/1942,8/21/1942,525,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,8/21/1942,8/22/1942,516,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,8/29/1942,8/30/1942,517,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,8/30/1942,8/31/1942,512,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,8/31/1942,9/1/1942,503,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,9/1/1942,9/2/1942,505,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,9/2/1942,9/3/1942,505,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,9/3/1942,9/4/1942,412,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,9/4/1942,9/5/1942,297,
Puyallup,47.18424456634575,-122.2939900230675,Minidoka,42.67791650427422,-114.2512114927423,10,9/12/1942,9/13/1942,92,
Pomona,34.08138333333333,-117.7641756515293,Heart Mountain,44.670525,-108.9498194444444,11,8/9/1942,8/12/1942,292,
Pomona,34.08138333333333,-117.7641756515293,Heart Mountain,44.670525,-108.9498194444444,11,8/15/1942,8/18/1942,529,
Pomona,34.08138333333333,-117.7641756515293,Heart Mountain,44.670525,-108.9498194444444,11,8/16/1942,8/19/1942,519,
Pomona,34.08138333333333,-117.7641756515293,Heart Mountain,44.670525,-108.9498194444444,11,8/17/1942,8/20/1942,530,
Pomona,34.08138333333333,-117.7641756515293,Heart Mountain,44.670525,-108.9498194444444,11,8/18/1942,8/21/1942,545,
Pomona,34.08138333333333,-117.7641756515293,Heart Mountain,44.670525,-108.9498194444444,11,8/19/1942,8/22/1942,507,
Pomona,34.08138333333333,-117.7641756515293,Heart Mountain,44.670525,-108.9498194444444,11,8/20/1942,8/23/1942,499,
Pomona,34.08138333333333,-117.7641756515293,Heart Mountain,44.670525,-108.9498194444444,11,8/21/1942,8/24/1942,542,
Pomona,34.08138333333333,-117.7641756515293,Heart Mountain,44.670525,-108.9498194444444,11,8/22/1942,8/25/1942,492,
