"rowid","a","far_id","camp","pre-evacuation_address","pre-evacuation_state","final_departure_destination","final_departure_state","date_of_final_departure","departure_latitude","departure_longitude","preevacuation_latitude","preevacuation_longitude"
78816,99344,"jerome1-1553","6-jerome","Lomita","CA","Little Rock","AR","1943-07-20 00:00:00",34.746905,-92.280049,33.79224,-118.31507
78818,99360,"jerome1-1569","6-jerome","Florin","CA","Mesa","AZ","1943-04-06 00:00:00",33.440695,-111.856967,39.902424,-122.491767
78819,99361,"jerome1-1570","6-jerome","Florin","CA","Mesa","AZ","1943-04-06 00:00:00",33.440695,-111.856967,39.902424,-122.491767
78820,99362,"jerome1-1571","6-jerome","Florin","CA","Mesa","AZ","1943-04-06 00:00:00",33.440695,-111.856967,39.902424,-122.491767
78821,99363,"jerome1-1572","6-jerome","Florin","CA","Mesa","AZ","1943-04-06 00:00:00",33.440695,-111.856967,39.902424,-122.491767
78822,99366,"jerome1-1575","6-jerome","Florin","CA","Mesa","AZ","1943-04-06 00:00:00",33.440695,-111.856967,39.902424,-122.491767
78823,99367,"jerome1-1576","6-jerome","Florin","CA","Mesa","AZ","1943-04-06 00:00:00",33.440695,-111.856967,39.902424,-122.491767
78824,99378,"jerome1-1587","6-jerome","Florin","CA","Mesa","AZ","1943-04-06 00:00:00",33.440695,-111.856967,39.902424,-122.491767
78825,99379,"jerome1-1588","6-jerome","Florin","CA","Mesa","AZ","1943-04-06 00:00:00",33.440695,-111.856967,39.902424,-122.491767
78826,99380,"jerome1-1589","6-jerome","Florin","CA","Mesa","AZ","1943-04-06 00:00:00",33.440695,-111.856967,39.902424,-122.491767
78828,99386,"jerome1-1595","6-jerome","Delano","CA","Cedar Hill","MO","1944-05-08 00:00:00",38.352262,-90.62569,35.779507,-119.200825
78829,99388,"jerome1-1597","6-jerome","Delano","CA","St. Paul","MN","1943-03-11 00:00:00",44.951483,-93.090649,35.779507,-119.200825
78830,99392,"jerome1-1601","6-jerome","Fresno","CA","Chicago","IL","1943-07-20 00:00:00",41.88531,-87.62213,36.8411,-119.801015
78831,99402,"jerome1-1611","6-jerome","Sacramento","CA","Ordway","CO","1943-04-06 00:00:00",38.317486,-103.780036,38.380456,-121.555406
78832,99413,"jerome1-1622","6-jerome","Sacramento","CA","Ordway","CO","1943-04-06 00:00:00",38.317486,-103.780036,38.380456,-121.555406
78833,99421,"jerome1-1630","6-jerome","Lomita","CA","Grand Island","NE","1943-05-25 00:00:00",40.87227,-98.368698,33.79224,-118.31507
78834,99422,"jerome1-1631","6-jerome","Lomita","CA","Cleveland","OH","1944-05-15 00:00:00",41.489381,-81.667486,33.79224,-118.31507
78836,99429,"jerome1-1638","6-jerome","Armona","CA","Swarthmore","PA","1943-10-19 00:00:00",39.897162,-75.344083,36.31578,-119.70846
78837,99430,"jerome1-1639","6-jerome","Armona","CA","Swarthmore","PA","1943-10-19 00:00:00",39.897162,-75.344083,36.31578,-119.70846
78838,99440,"jerome1-1649","6-jerome","Fresno","CA","Ft. Lupton","CO","1943-06-29 00:00:00",40.107238,-104.801094,36.8411,-119.801015
78839,99441,"jerome1-1650","6-jerome","Gardena","CA","Ft. Lupton","CO","1943-06-29 00:00:00",40.107238,-104.801094,33.888315,-118.295256
78840,99454,"jerome1-1663","6-jerome","Fresno","CA","Cleveland","OH","1944-02-07 00:00:00",41.489381,-81.667486,36.8411,-119.801015
78841,99464,"jerome1-1673","6-jerome","Florin","CA","Ogden","UT","1943-08-27 00:00:00",41.244261,-112.007924,39.902424,-122.491767
78842,99466,"jerome1-1675","6-jerome","Florin","CA","Ogden","UT","1943-08-27 00:00:00",41.244261,-112.007924,39.902424,-122.491767
78843,99470,"jerome1-1679","6-jerome","Florin","CA","Ogden","UT","1943-08-27 00:00:00",41.244261,-112.007924,39.902424,-122.491767
78844,99473,"jerome1-1682","6-jerome","Los Angeles","CA","Detroit","MI","1944-02-23 00:00:00",42.347021,-83.060184,33.973951,-118.248405
78845,99479,"jerome1-1688","6-jerome","Hanford","CA","Peoria","IL","1943-09-01 00:00:00",40.693137,-89.589847,36.220468,-119.71776
78846,99480,"jerome1-1689","6-jerome","Hanford","CA","Galveston","TX","1943-10-26 00:00:00",29.310535,-94.775768,36.220468,-119.71776
78849,99501,"jerome1-1710","6-jerome","Armona","CA","Ann Arbor","MI","1943-07-20 00:00:00",42.266638,-83.849042,36.31578,-119.70846
78850,99505,"jerome1-1714","6-jerome","San Pedro","CA","Chicago","IL","1943-06-01 00:00:00",41.88531,-87.62213,33.753088,-118.253053
78851,99511,"jerome1-1720","6-jerome","Fresno","CA","Monroe","MI","1943-04-06 00:00:00",41.907196,-83.472457,36.8411,-119.801015
78852,99514,"jerome1-1723","6-jerome","Fresno","CA","Chicago","IL","1943-11-15 00:00:00",41.88531,-87.62213,36.8411,-119.801015
78853,99515,"jerome1-1724","6-jerome","Fresno","CA","Columbus","OH","1943-08-02 00:00:00",40.100924,-83.013402,36.8411,-119.801015
78854,99516,"jerome1-1725","6-jerome","Fresno","CA","Cleveland","OH","1943-10-27 00:00:00",41.489381,-81.667486,36.8411,-119.801015
78856,99522,"jerome1-1731","6-jerome","Fresno","CA","Ann Arbor","MI","1943-08-30 00:00:00",42.266638,-83.849042,36.8411,-119.801015
78857,99528,"jerome1-1737","6-jerome","Delano","CA","Chicago","IL","1943-10-20 00:00:00",41.88531,-87.62213,35.779507,-119.200825
78858,99531,"jerome1-1740","6-jerome","Fresno","CA","Cleveland","OH","1943-06-28 00:00:00",41.489381,-81.667486,36.8411,-119.801015
78859,99534,"jerome1-1743","6-jerome","Fresno","CA","Elgin","IL","1944-05-11 00:00:00",42.034492,-88.238396,36.8411,-119.801015
78860,99535,"jerome1-1744","6-jerome","Fresno","CA","Elgin","IL","1944-05-11 00:00:00",42.034492,-88.238396,36.8411,-119.801015
78861,99536,"jerome1-1745","6-jerome","Fresno","CA","Chicago","IL","1944-05-11 00:00:00",41.88531,-87.62213,36.8411,-119.801015
78862,99561,"jerome1-1770","6-jerome","Tulare","CA","Des Moines","IA","1944-02-28 00:00:00",41.672687,-93.572173,36.133527,-119.299856
78863,99563,"jerome1-1772","6-jerome","Tulare","CA","Chicago","IL","1943-05-26 00:00:00",41.88531,-87.62213,36.133527,-119.299856
78864,99564,"jerome1-1773","6-jerome","Tulare","CA","Chicago","IL","1943-04-13 00:00:00",41.88531,-87.62213,36.133527,-119.299856
78865,99565,"jerome1-1774","6-jerome","Tulare","CA","Gering","NE","1943-02-12 00:00:00",41.80602,-103.75796,36.133527,-119.299856
78866,99575,"jerome1-1784","6-jerome","San Pedro","CA","Chicago","IL","1943-03-26 00:00:00",41.88531,-87.62213,33.753088,-118.253053
78867,99576,"jerome1-1785","6-jerome","San Pedro","CA","Chicago","IL","1943-07-01 00:00:00",41.88531,-87.62213,33.753088,-118.253053
78868,99577,"jerome1-1786","6-jerome","San Pedro","CA","Morton Grove","IA","1944-02-18 00:00:00",0,0,33.753088,-118.253053
78869,99579,"jerome1-1788","6-jerome","Fresno","CA","Minneapolis","MN","1942-11-13 00:00:00",44.984577,-93.269097,36.8411,-119.801015
78871,99585,"jerome1-1794","6-jerome","Exeter","CA","Detroit","MI","1944-02-10 00:00:00",42.347021,-83.060184,36.344716,-119.088371
78872,99600,"jerome1-1809","6-jerome","Lomita","CA","Boise","ID","1944-02-08 00:00:00",43.603768,-116.272921,33.79224,-118.31507
78873,99608,"jerome1-1817","6-jerome","Delano","CA","Nisland","SD","1943-05-17 00:00:00",44.673533,-103.556354,35.779507,-119.200825
78874,99614,"jerome1-1823","6-jerome","Sacramento","CA","Sun Prairie","WI","1944-02-23 00:00:00",43.195712,-89.209418,38.380456,-121.555406
78875,99630,"jerome1-1839","6-jerome","Seattle","WA","Detroit","MI","1943-12-20 00:00:00",42.347021,-83.060184,47.432251,-121.803388
